"filename", "language", "JSON", "JSON with Comments", "YAML", "TypeScript", "Groovy", "Batch", "PostCSS", "Properties", "XML", "JavaScript", "TypeScript JSX", "Markdown", "Java", "HTML", "comment", "blank", "total"
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\ManagersSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 4, 11, 184
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\TanksSection.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 7, 18, 131
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\TanksSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 12, 20, 225
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\gas-stations\PeajeFormModal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 5, 11, 73
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\gas-stations\PeajeFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 7, 17, 221
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\gas-stations\PeajeTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 5, 10, 129
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\gas-stations\PeajesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 8, 24, 206
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\guides\GuidesPage.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 7, 22, 174
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\guides\GuidesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 9, 13, 128
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\guides\GuidesRouteGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 4, 6, 118
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\guides\hooks\useGuidesByDate.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 115
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\income\IngresoDetailPage.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 2, 17, 112
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\income\IngresoDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 7, 15, 114
